filename,width,height,class,xmin,ymin,xmax,ymax
file-100.jpeg,225,225,maze,33,42,188,180
file-100.jpeg,225,225,maze,33,42,188,180
file-103.jpeg,240,210,maze,10,58,134,182
file-103.jpeg,240,210,maze,142,57,204,119
file-103.jpeg,240,210,maze,142,57,204,119
file-104.jpeg,275,183,maze,100,52,245,121
file-104.jpeg,275,183,maze,58,56,99,94
file-104.jpeg,275,183,maze,246,63,274,102
file-104.jpeg,275,183,maze,246,63,274,102
file-105.jpeg,300,168,maze,154,51,175,70
file-105.jpeg,300,168,maze,101,64,136,97
file-105.jpeg,300,168,maze,101,64,136,97
file-109.jpeg,257,196,maze,69,46,153,100
file-109.jpeg,257,196,maze,91,103,152,155
file-109.jpeg,257,196,maze,91,103,152,155
file-110.jpeg,269,188,maze,76,21,201,165
file-110.jpeg,269,188,maze,76,21,201,165
file-114.jpeg,290,174,maze,33,15,170,159
file-114.jpeg,290,174,maze,33,15,170,159
file-120.jpeg,280,180,maze,26,21,163,158
file-120.jpeg,280,180,maze,189,87,259,158
file-120.jpeg,280,180,maze,189,87,259,158
file-121.jpeg,263,192,maze,36,40,128,112
file-121.jpeg,263,192,maze,61,113,130,129
file-121.jpeg,263,192,maze,61,113,130,129
file-122.jpeg,299,168,maze,84,22,218,154
file-122.jpeg,299,168,maze,84,22,218,154
file-128.jpeg,277,182,maze,99,24,182,134
file-128.jpeg,277,182,maze,99,24,182,134
file-13.jpeg,930,620,maze,283,47,440,206
file-13.jpeg,930,620,maze,271,424,453,583
file-13.jpeg,930,620,maze,75,236,234,397
file-13.jpeg,930,620,maze,471,426,671,584
file-13.jpeg,930,620,maze,492,238,650,394
file-13.jpeg,930,620,maze,282,237,442,396
file-13.jpeg,930,620,maze,66,425,240,583
file-13.jpeg,930,620,maze,695,425,869,582
file-13.jpeg,930,620,maze,702,236,861,398
file-13.jpeg,930,620,maze,701,48,859,207
file-13.jpeg,930,620,maze,494,45,648,205
file-13.jpeg,930,620,maze,77,47,232,206
file-13.jpeg,930,620,maze,77,47,232,206
file-136.jpeg,243,207,maze,23,84,141,207
file-136.jpeg,243,207,maze,142,153,201,207
file-136.jpeg,243,207,maze,202,184,234,207
file-136.jpeg,243,207,maze,202,184,234,207
file-139.jpeg,267,189,maze,80,69,190,158
file-139.jpeg,267,189,maze,80,69,190,158
file-141.jpeg,194,259,maze,1,137,187,259
file-141.jpeg,194,259,maze,1,137,187,259
file-142.jpeg,328,153,maze,93,82,209,134
file-142.jpeg,328,153,maze,210,102,234,134
file-142.jpeg,328,153,maze,71,102,92,135
file-142.jpeg,328,153,maze,71,102,92,135
file-144.jpeg,194,259,maze,1,190,80,259
file-144.jpeg,194,259,maze,118,186,194,242
file-144.jpeg,194,259,maze,118,186,194,242
file-15.jpeg,1030,670,maze,60,3,1030,669
file-15.jpeg,1030,670,maze,60,3,1030,669
file-152.jpeg,252,200,maze,4,1,134,158
file-152.jpeg,252,200,maze,135,2,176,92
file-152.jpeg,252,200,maze,135,2,176,92
file-179.jpeg,210,240,maze,37,75,169,211
file-179.jpeg,210,240,maze,37,75,169,211
file-18.jpeg,800,530,maze,1,3,799,529
file-18.jpeg,800,530,maze,1,3,799,529
file-184.jpeg,270,187,maze,69,58,166,130
file-184.jpeg,270,187,maze,69,58,166,130
file-185.jpeg,275,183,maze,38,52,173,156
file-185.jpeg,275,183,maze,38,52,173,156
file-19.jpeg,800,530,maze,18,323,367,530
file-19.jpeg,800,530,maze,405,3,796,528
file-19.jpeg,800,530,maze,7,154,271,318
file-19.jpeg,800,530,maze,7,154,271,318
file-20.jpeg,1222,900,maze,14,9,1216,856
file-20.jpeg,1222,900,maze,14,9,1216,856
file-217.jpeg,1200,699,maze,5,98,450,552
file-217.jpeg,1200,699,maze,900,128,1199,473
file-217.jpeg,1200,699,maze,450,238,610,576
file-217.jpeg,1200,699,maze,450,238,610,576
file-218.jpeg,390,280,-1,-1,-1,-1,-1
file-219.jpeg,626,410,-1,-1,-1,-1,-1
file-220.jpeg,976,650,-1,-1,-1,-1,-1
file-221.jpeg,1600,900,-1,-1,-1,-1,-1
file-222.jpeg,1200,900,-1,-1,-1,-1,-1
file-223.jpeg,225,225,-1,-1,-1,-1,-1
file-224.jpeg,259,194,-1,-1,-1,-1,-1
file-225.jpeg,2500,1500,-1,-1,-1,-1,-1
file-226.jpeg,1920,1080,-1,-1,-1,-1,-1
file-227.jpeg,275,183,-1,-1,-1,-1,-1
file-228.jpeg,320,240,-1,-1,-1,-1,-1
